话题链接,话题内容,楼主ID,楼主昵称,楼主性别,发布日期,发布时间,转发量,评论量,点赞量,评论者ID,评论者昵称,评论者性别,评论日期,评论时间,评论内容
 , , , , , , , , , ,5949771649,陈芊芊·,f,2020/07/14,16:23:03,请祖国放心，我下炕都费劲
 , , , , , , , , , ,6981232745,小新和煎饺,f,2020/07/14,16:21:29,我妈说这两年都不要出国旅行，太难了
 , , , , , , , , , ,3835087177,三李白茶,m,2020/07/14,16:23:19,出国简直就是送死啊
 , , , , , , , , , ,2306788624,Mo_onYnia_TinG-,f,2020/07/14,16:22:14,我连家门都没怎么出过，而且天气还那么热
 , , , , , , , , , ,1881514813,会玩滑板的煎蛋,f,2020/07/14,16:21:30,放心，还是国内安全，俺哪都不去
 , , , , , , , , , ,5119674528,kmmoiy_,f,2020/07/14,16:22:56,我出京都出不去 你放心8
 , , , , , , , , , ,7358239636,李淳风·,m,2020/07/14,16:23:26,这个时候出去旅游，怕是脑子有病
 , , , , , , , , , ,5353308920,A数字货币,m,2020/07/14,16:22:54,出国旅游的不用回来了
 , , , , , , , , , ,2060938031,珩珩居士,m,2020/07/14,16:21:50,这点觉悟还是有的 
 , , , , , , , , , ,2460435563,装懂事长,f,2020/07/14,16:23:02,祖国赶我们出去我们都不出 放心
 , , , , , , , , , ,5855639331,大帅哥是你吗,m,2020/07/14,16:22:31,注意防控，遵守规定！
 , , , , , , , , , ,7063228795,喝下午茶的miao,f,2020/07/14,16:27:16,除了上班去超市基本哪儿都不去，从过年到现在没去过商场
 , , , , , , , , , ,2692497115,70后的爱,m,2020/07/14,16:32:31,大妈们，你们的战斗力可以放在国内，孩子放假可以看看我们祖国的大好河山，新疆西藏贵州风景真的是不输国外，新疆的地貌世界少有，西藏的文化举世无双，贵州的大山俊俏秀丽。
 , , , , , , , , , ,3155632055,一个人的三丶亚_867,m,2020/07/14,16:22:35,不要命就出，不傻都知道祖国很安全
 , , , , , , , , , ,1923208263,北极星少女-姜贞羽,f,2020/07/14,16:21:39,我连家门都不出
 , , , , , , , , , ,5909295486,Sgr_xls,f,2020/07/14,16:21:34,太阳太晒啦 好好在家待着吧
 , , , , , , , , , ,2706924964,Wa这么厉害的吗,m,2020/07/14,16:22:34,桂林欢迎您
 , , , , , , , , , ,6241608684,宇哥不是哥1128,f,2020/07/14,16:28:36,出国容易回来难，好好活着不好么
https://m.weibo.cn/detail/4526533736456267,【“数学鬼才”特朗普：如果检测少一半，病例也会少一半】7月13日，美国白宫。针对有人拿美国确诊数说事儿，特朗普不干了：“现在我们检测4500万次，有这么多确诊。如果检测少一半，病例也会少一半，如果检测量是一半的一半，病例则会再少一半。”微丢的微博视频 ,1887344341,观察者网,m,2020/07/14,10:20:03,576,1155,6508, , , , , , 
 , , , , , , , , , ,7204237335,生活的轮回,f,2020/07/14,10:22:15,那如果不检测，疫情就结束了呗
 , , , , , , , , , ,1465078477,大魔法师_Shaw,m,2020/07/14,10:20:25,有个成语叫掩耳盗铃
 , , , , , , , , , ,1731092043,乱选评论,m,2020/07/14,10:20:56,川宝：我闭上眼睛就是天黑～
 , , , , , , , , , ,6602202433,渣渣亮LL,m,2020/07/14,10:21:04,真是个小机灵鬼
 , , , , , , , , , ,5122690391,智慧咸鱼,f,2020/07/14,10:20:20,天才！
 , , , , , , , , , ,1776004392,别披着爱国的外衣行言语暴力,m,2020/07/14,10:24:13,他其实是在吹嘘美国的检测力度很大，很成功的找出了病例，反过来是在说有些国家病例不多是没有彻底检测或隐瞒病例数量
 , , , , , , , , , ,1734981044,WH胜天半子,m,2020/07/14,10:21:10,懂王上线，笑话连篇，撒谎成性，甩锅绝版，自吹自嗨，自给荣誉，自欺欺人，四年掌门，成事欠做，败事有余，美国衰败，功不可没！
 , , , , , , , , , ,5327826417,我去你家吃饭行么,m,2020/07/14,10:20:41,一叶障目不见泰山。掩耳盗铃
 , , , , , , , , , ,2157574352,诺式媒女,f,2020/07/14,10:22:42,不检测就0感染嘛特朗普一向逻辑鬼才，狡辩到底
 , , , , , , , , , ,1225522563,蜜蜂与幸运草,m,2020/07/14,10:39:00,如果投票人数少一半，特朗普再进白宫的几率也能少一半
 , , , , , , , , , ,3362653190,停停火箭,m,2020/07/14,11:15:07,我把支付宝删了，以后就不用还花呗了！好开心呀好开心呀！
 , , , , , , , , , ,1749617703,深蓝宝石,m,2020/07/14,10:23:39,我勒个去，这是别有用心者用deepfake做的视频吗？一国领导说出这种话，简直难以置信，
 , , , , , , , , , ,5957836097,财神姐,f,2020/07/14,10:22:06,这逻辑无法反驳
 , , , , , , , , , ,1465015371,化小硕,f,2020/07/14,10:22:59,直接说，我们不检测就没有确诊病例好了
 , , , , , , , , , ,6877053588,人狠话不多兄,m,2020/07/14,10:20:41,减少一半，估计你也就得了，我真希望他得一下，感受一下这个病毒的威力
 , , , , , , , , , ,1785549685,南方星空飘着北方的雪,m,2020/07/14,10:59:39,这是大实话，去年不检测，这就是流感，电子烟肺炎，基本上今年连任毫无悬念。
 , , , , , , , , , ,1434825273,Ryan_谈天说地,m,2020/07/14,10:23:57,床破总统威武！不但不检测，连治疗也应该免了，医院也都封闭，这样就不会有病人了，前所未有之的国泰民安大局！
 , , , , , , , , , ,3173060504,赶紧把衣服穿上我不是那样的人,m,2020/07/14,10:32:25,如果不进行换届选举。你岂不是一直都是总统。
 , , , , , , , , , ,2163409294,浪里来水煞,m,2020/07/14,12:01:50,我记录在此。等着川普先生的道歉。或许近期他不会，但我相信总有一天他会，如果他尚有基本的常识、判断以及良知的话。我不知道川普先生有什么伟业，但是这这个视频将会是他一生的污点，唯有道歉可以洗去这个污点。 
 , , , , , , , , , ,5036096620,精神二等残疾,f,2020/07/14,10:29:10,其实还是内涵我国病例少就是检测太少，你们都是假数据，只有我漂亮国才是真数据
https://m.weibo.cn/detail/4526506837475762,【#浙江商人非洲确诊后270万包机回国#：国内无密切接触者】7月12日，浙江新增境外输入确诊病例1例（加纳输入）。郑某某，男，45岁，在加纳经商。7月10日，他独自包机回国，途中相关工作人员已做好防护，国内无密切接触者。这位“郑某某”，是台州温岭人，中加贸易商会会长，包机是他的合作伙伴姜先生帮忙联系的。姜先生称，6月17日上午，郑先生在当地参加了一个捐赠活动，有几十个人参加。当天下午，郑先生出现发热、咳嗽、胸闷、气急等症状，去医院新冠病毒核酸检测呈阳性。郑先生马上向加纳中国大使馆报告，“大使馆非常关心。”疫情暴发后，所有航班都停航。通过国内有关部门协调，最终商定独自包机回国。姜先生联系了到SOS国际援助中心提供包机服务，费用需要270万元。“在支付了费用后，加纳时间7月9日下午3点，飞机接上郑先生起飞了。（台州晚报；LX）台州商人270万“独自包机回国”治疗新冠：在加纳确诊后7月9日启程，历时35个小时回到杭州……,1649173367,每日经济新闻,m,2020/07/14,08:33:11,1442,3137,190829, , , , , , 
 , , , , , , , , , ,3343132212,卖猪肉的屠户,f,2020/07/14,09:21:53,有钱 但是他包机 没有给别人带来伤害  有钱又有责任心 社会公德心  值得称赞 没什么好酸的
 , , , , , , , , , ,6493693026,今天晚上会做美梦吗,f,2020/07/14,09:09:49,素质还是很高的，也很有责任感
 , , , , , , , , , ,1790035604,老崔金融,m,2020/07/14,08:36:37,有时候钱能救命。
 , , , , , , , , , ,2282590674,资深少女悦,f,2020/07/14,09:01:09,光看到270万了郑先生的这个做法很负责，没有感染到其他人，第一时间报告，无密切接触者，做的很棒了。
 , , , , , , , , , ,5131025329,蜗居一居,f,2020/07/14,09:25:37,我觉得他心里有大局他用的都是自己的钱。而且飞机上的人也都做好防护了。国内没有密切接触者，发现不对马上去医院接受检查。
 , , , , , , , , , ,6451697464,向太阳前进的月亮,f,2020/07/14,11:50:05,不要觉得他是有钱人，然后发酸，270万可能是他的全部家当，也可能是他冰山一角，也可能是他借了一部分。但是命只有一条，保命重要，也能显示出对祖国的信赖。也做到了负责任。
 , , , , , , , , , ,5094664005,杨家将挂帥,f,2020/07/14,08:37:27,有没有感觉自己捡了270万
 , , , , , , , , , ,2370477690,八月小姐-,f,2020/07/14,08:41:40,自己的钱怎么花是他的自由，评论里酸气怎么那么重
 , , , , , , , , , ,5186716282,梨涡妹纸哦,f,2020/07/14,08:33:52,有钱人的世界
 , , , , , , , , , ,5516282652,想要暴富啊啊啊啊啊啊,f,2020/07/14,08:41:48,这才是真正的为他人着想的人呐 人品极好感动 舍小钱为大家 有格局的商人
 , , , , , , , , , ,2926176283,S_Wong萌呆,m,2020/07/14,08:35:22,没钱可能就回不来了
 , , , , , , , , , ,2703820460,快乐俏夕阳2012,f,2020/07/14,08:39:17,能挣钱会用钱才是高人！没什么比生命更重要！
 , , , , , , , , , ,5688071593,爱做梦的大梦想家,f,2020/07/14,09:54:14,挺好，包机避免了感染他人的风险，只是忍不住单纯感叹一下要是我我可能真回不来了，因为没钱（不是酸，只是感叹一下自己）
 , , , , , , , , , ,5891302575,徐超呐,m,2020/07/14,09:57:11,都是他们，害的以为全浙江人都这么有钱。我TM是个穷鬼浙江人呐！
 , , , , , , , , , ,3194160771,白味呛口小米辣,f,2020/07/14,08:37:04,果然有钱才是硬道理
 , , , , , , , , , ,1860952400,申屠文静JasonStar,f,2020/07/14,09:43:40,这位浙商懂得轻重。会赚钱 会用钱。为浙江人点赞👍
 , , , , , , , , , ,2013801024,娱乐圈最头条,m,2020/07/14,08:36:05,钱算啥  命重要
 , , , , , , , , , ,1774150532,三只小猫猛于虎,f,2020/07/14,12:21:48,我以为评论区会清一色炸浙江人有钱这件事，但是看到大家都看到了这件事背后的素质和难处，感觉世风日上！
 , , , , , , , , , ,2031851773,SCC-未来,m,2020/07/14,09:44:16,钱本来就是用来续命的，不然赚钱干嘛
 , , , , , , , , , ,1553186924,交广阿泰,m,2020/07/14,08:45:41,非洲确诊，包机回国，浙江商人还是有钱
https://m.weibo.cn/detail/4526483005594204,【#美国新冠感染病例占全球1/4以上#，#几乎每100个美国人就有一人感染#】据美国约翰斯·霍普金斯大学疫情实时监测系统显示，截至美东时间7月13日下午5时34分，全球累计新冠病毒感染病例13026225例，累计死亡病例570924例。美国已有感染病例3352696例，占全球感染病例1/4以上，其中包括死亡病例135512例。与该系统7月12日下午6点的数据相比，美国新增感染病例59762例，新增死亡病例372例。美国有线电视新闻网指出，根据约翰斯·霍普金斯大学的最新数据，几乎每100个美国人中就有一人感染新冠病毒。美国民主基金和加州大学洛杉矶分校近日发布的一项调查显示，超过1/3（36%）的美国人表示，除了直系亲属和工作中认识的人以外，身边有人已经感染了新冠病毒。这个数字自3月份以来增加了两倍多，3月中旬，有11%的美国人表示同样的看法。（郑琪）,2803301701,人民日报,m,2020/07/14,06:58:29,1800,4070,84391, , , , , , 
 , , , , , , , , , ,2288696622,歌帝梵桶装,m,2020/07/14,06:59:08,无比庆幸生活在中国，每一个国家都不是完美的 但我们的国家真的很好了，并且会越来越好
 , , , , , , , , , ,6517016481,富豪,m,2020/07/14,06:59:49,特郎普：我嘴上不说，但我心里很高兴，慢慢地、偷偷地实现了群体免疫，去除社会累赘，让美国社会年轻化，实现让美国再次伟大，若干年以后，所有的美国人都会感激我的，关于这一点，你们不懂得，只有我懂！
 , , , , , , , , , ,6935378984,诸葛罡铁,m,2020/07/14,06:58:51,不愧是一超多强
 , , , , , , , , , ,7290279441,为什么我不是美少年,m,2020/07/14,06:58:45,我去，又是一天6万，什么时候增长停止，就看美国有多少人了吧
 , , , , , , , , , ,2267014913,良晨思雨,m,2020/07/14,06:58:53,特朗普：我都不担心，你们担心什么。
 , , , , , , , , , ,2323375044,原来是涓涓呀,f,2020/07/14,07:01:02,美国一天不碰瓷中国感觉会从阳间消失！见过不要脸的 没见过这么死皮不要脸的国家 还有特朗普不把人命当命自己玩的好嗨哟~感觉人生已经达到了高潮~感觉人生已经到达了巅峰 好震撼 好夺目，好炫彩~~还有要自由不要命不带口罩的民众！真的同情不起来！
 , , , , , , , , , ,5895876433,原来是名名噢,f,2020/07/14,07:00:15,都是人命呀，看着数字都可怕 希望疫情早点结束🙏
 , , , , , , , , , ,2267014913,良晨思雨,m,2020/07/14,07:03:02,如果美国60岁以上的全部死玩，美国可能会出现一个非常强的国家，美国60岁以上的每天要给国家带来多少负担，如果这些负担都没有了，美国政府收入会高多少，这个总统是个商人，所以他非常会做生意，如果小孩也死那就真的糟糕了
 , , , , , , , , , ,1803598905,徐研玲,f,2020/07/14,06:59:26,人家几万几万的涨跟没事人似得，心态真好，不服不行
 , , , , , , , , , ,5237190420,北雁兮南飞,f,2020/07/14,07:02:35,美国的空气越来越美越来越香甜了！
 , , , , , , , , , ,7025342299,可凉快了0,m,2020/07/14,08:56:13,冤有头债有主，请你去找特朗普
 , , , , , , , , , ,5631534368,猪猪小兔子唯爱宁哥,m,2020/07/14,07:00:32,特朗普~反正我口罩了，再增加也和我无关。
 , , , , , , , , , ,5646550128,吴彦祖·,m,2020/07/14,06:59:36,特朗普：最终还是活成了自己最讨厌的样子
 , , , , , , , , , ,2267014913,良晨思雨,m,2020/07/14,06:59:56,美国可以申请吉尼斯世界纪录了
 , , , , , , , , , ,1339183834,狮妈V丫宝,f,2020/07/14,07:01:19,真的觉得米国人脑子有病 难以理解
 , , , , , , , , , ,5679508036,iBingo,m,2020/07/14,07:53:13,一天6万多，连着七八天，真的服气
 , , , , , , , , , ,7221960151,王正一Thoreau,f,2020/07/14,07:02:24,特朗普：我可说戴口罩了哦 感染别怪我
 , , , , , , , , , ,5100914041,微雨燕双飞0108,m,2020/07/14,07:02:24,美国这么作，疫情什么时侯才能结束？
 , , , , , , , , , ,6343960846,nai茶里的草莓,f,2020/07/14,08:36:17,感觉在中国好幸福
 , , , , , , , , , ,3848425033,女王的高傲你攀登不起99,f,2020/07/14,09:01:07,美国全部得病对全球又有什么好处？最后谁都不能幸免。拒绝反驳，骂我的喷子请原地爆炸。
https://m.weibo.cn/detail/4526534809467675,【好消息！#北京西城大爷可以出院了#】经过33天的治疗，北京西城大爷终于可以出院了。作为新发地相关疫情首例确诊病例，西城大爷在流调过程中提供了详细的接触名单和行动轨迹，为确定疫情源头作出重要贡献，受到社会各界的肯定与关注。临别前他感谢医护，鼓励病友调整心态早日康复。北京卫视生命缘的微博视频,2803301701,人民日报,m,2020/07/14,10:24:20,764,780,23157, , , , , , 
 , , , , , , , , , ,6883449437,求你别憋笑了,m,2020/07/14,10:24:41,哈哈哈哈 大哥 不是大爷！
 , , , , , , , , , ,3101630921,我姓倪别的不能说了,m,2020/07/14,10:25:23,你大爷还是你大爷[贊][贊]记忆力那么好 真的是作出重要贡献了
 , , , , , , , , , ,2344936507,明视日念,m,2020/07/14,10:28:35,50多岁当了全国网友的大爷 
 , , , , , , , , , ,5975375298,zshhy超白白白,f,2020/07/14,10:25:33,第一个去检查确诊的西城大爷真的很负责，恭喜大爷
 , , , , , , , , , ,1885453912,likuidcrystal,m,2020/07/14,10:33:46,西便门东街那几个院儿，都是国务院广电总局啥的单位宿舍，居民整体素质还是满高的
 , , , , , , , , , ,7111771206,过客6001,m,2020/07/14,10:28:51,大爷加油
 , , , , , , , , , ,6411070647,云间星辰,f,2020/07/14,10:27:50,还是要感谢国家
 , , , , , , , , , ,1498922325,脂肪教授刘成胜,m,2020/07/14,10:25:26,西城大爷好了，北京也好了，这场疫情也快好了
 , , , , , , , , , ,1865267234,数码ONE,m,2020/07/14,10:25:04,厉害了大爷
 , , , , , , , , , ,6830992119,娱玺,m,2020/07/14,10:28:46,你大爷永远都是你大爷
 , , , , , , , , , ,2519758511,o柚子_,f,2020/07/14,12:06:24,恭喜您  您辛苦了！！！！大爷 每天吃核桃吗您 食谱麻烦您公开一下！！我也想救救自己的记忆力
